name,price_usd,subscription,purchases,est_gross_usd,users,likes,trial_days,freemium,third_party,publisher,created,updated,editor_types,tagline,id
Autoflow,39.0,False,6721,262119.0,1071985,13553,0,True,False,dz,2024-11-22,2025-01-29,design,Automagically draw flow arrows! Create user flows and diagrams in a hand-drawn or minimalist style.,50c91081-67bb-456b-bb17-c864a3e80e4b
"html.to.design — by ‹div›RIOTS — Import websites to Figma designs (web,html,css)",18.0,True,10861,195498.0,2632643,39077,0,True,False,divriots,2024-11-26,2026-09-02,"design,slides,whiteboard",Convert any website into fully editable Figma designs,91f6c84e-bd4f-402f-87b0-8ea9fac64b45
Styles & Variables Organizer,15.0,False,2333,34995.0,139567,3288,0,True,False,chenmu,2024-11-25,2026-09-16,"design,whiteboard",Apply styles and variables to all your designs with one click!,1503ee43-33f0-4496-a693-f7fe2684d035
"Print for Figma | CMYK, Bleed, Crop Marks, DPI",12.0,True,2183,26196.0,267191,3793,0,True,False,bk,2024-11-25,2026-07-05,"cooper,design","Print-ready CMYK PDF export from Figma - bleed, crop marks, ICC profiles & DPI",6b6dffe6-85c4-4b38-9dcd-3633d841016d
Noise,5.0,False,3481,17405.0,711009,10985,0,True,False,dustin,2024-11-25,2024-11-25,"design,whiteboard",Pixel perfect noise texture generation for Figma.,4e571dc6-b1e8-4803-b0d3-9e737854311b
Draw Connector,39.0,False,397,15483.0,128985,1250,0,True,False,yuanqing,2024-11-25,2024-11-25,design,Draw perfect orthogonal connectors between layers,4088b6ce-e40e-4dd1-8dc6-5aa2d2fe7b7d
Simpleflow — FigJam Connectors everywhere,10.0,False,1370,13700.0,112173,1890,0,True,False,lichin,2024-11-25,2025-08-17,"design,slides,whiteboard",🪄 Create flowcharts in Figma with native FigJam connectors — stay perfectly in sync as you design!,1967589d-29ea-4dc6-b6f9-990fa63af0f1
"Figma to Tailwind CSS Converter, Code Generator & Code Exporter for UI Development",49.0,False,171,8379.0,16898,371,0,True,False,keno_reloaded,2024-11-26,2026-03-15,design,"Convert Figma designs to clean Tailwind CSS, components, and semantic code in seconds.",ed62215f-d289-4959-9c52-14b3ee967b3a
GIF Export,10.0,False,741,7410.0,315390,2791,0,True,False,appcano,2024-11-25,2026-05-20,"cooper,design,slides,whiteboard",Export gifs or frames with gifs in them!,72113148-f79d-49d6-8af5-775d8e8eb2a1
JSON to Figma,17.0,False,364,6188.0,90981,944,0,True,False,PavelLaptev,2024-11-25,2026-01-30,design,"json, population, images",b8dee461-5116-4af9-a648-1328fd0b0ddb
